"date","month","type","total_in_tons"
"2020-09-30T00:00:00.000","September","Misc. Garbage","2304"
"2020-09-30T00:00:00.000","September","Curb Garbage","8666"
"2020-09-30T00:00:00.000","September","E-Waste","30"
"2020-09-30T00:00:00.000","September","Haz Waste","0"
"2020-09-30T00:00:00.000","September","Yard Waste","519"
"2020-09-30T00:00:00.000","September","Recycled Tires","22"
"2020-09-30T00:00:00.000","September","Scrap Metal","332"
"2020-09-30T00:00:00.000","September","Bottle Bill","317"
"2020-09-30T00:00:00.000","September","Curb Recycling","1557"
"2020-08-31T00:00:00.000","August","Recycled Tires","22"
"2020-08-31T00:00:00.000","August","Misc. Garbage","3409"
"2020-08-31T00:00:00.000","August","Curb Garbage","8527"
"2020-08-31T00:00:00.000","August","E-Waste","30"
"2020-08-31T00:00:00.000","August","Haz Waste","0"
"2020-08-31T00:00:00.000","August","Yard Waste","519"
"2020-08-31T00:00:00.000","August","Scrap Metal","332"
"2020-08-31T00:00:00.000","August","Bottle Bill","317"
"2020-08-31T00:00:00.000","August","Misc. Recycling","10"
"2020-08-31T00:00:00.000","August","Curb Recycling","1544"
"2020-07-31T00:00:00.000","July","Misc. Garbage","2823"
"2020-07-31T00:00:00.000","July","Curb Garbage","9825"
"2020-07-31T00:00:00.000","July","E-Waste","30"
"2020-07-31T00:00:00.000","July","Haz Waste","0"
"2020-07-31T00:00:00.000","July","Yard Waste","519"
"2020-07-31T00:00:00.000","July","Recycled Tires","22"
"2020-07-31T00:00:00.000","July","Scrap Metal","332"
"2020-07-31T00:00:00.000","July","Bottle Bill","317"
"2020-07-31T00:00:00.000","July","Misc. Recycling","10"
"2020-07-31T00:00:00.000","July","Curb Recycling","1743"
"2020-06-30T00:00:00.000","June","Misc. Garbage","1107"
"2020-06-30T00:00:00.000","June","Curb Garbage","10183"
"2020-06-30T00:00:00.000","June","E-Waste","30"
"2020-06-30T00:00:00.000","June","Haz Waste","0"
"2020-06-30T00:00:00.000","June","Yard Waste","519"
"2020-06-30T00:00:00.000","June","Recycled Tires","22"
"2020-06-30T00:00:00.000","June","Scrap Metal","332"
"2020-06-30T00:00:00.000","June","Bottle Bill","317"
"2020-06-30T00:00:00.000","June","Misc. Recycling","10"
"2020-06-30T00:00:00.000","June","Curb Recycling","1751"
"2020-05-30T00:00:00.000","May","Misc. Garbage","1455"
"2020-05-30T00:00:00.000","May","Curb Garbage","9037"
"2020-05-30T00:00:00.000","May","E-Waste","30"
"2020-05-30T00:00:00.000","May","Haz Waste","0"
"2020-05-30T00:00:00.000","May","Yard Waste","519"
"2020-05-30T00:00:00.000","May","Recycled Tires","22"
"2020-05-30T00:00:00.000","May","Scrap Metal","332"
"2020-05-30T00:00:00.000","May","Bottle Bill","317"
"2020-05-30T00:00:00.000","May","Misc. Recycling","10"
"2020-05-30T00:00:00.000","May","Curb Recycling","1580"
"2020-04-30T00:00:00.000","April","Misc. Garbage","643"
"2020-04-30T00:00:00.000","April","Curb Garbage","7686"
"2020-04-30T00:00:00.000","April","E-Waste","30"
"2020-04-30T00:00:00.000","April","Haz Waste","0"
"2020-04-30T00:00:00.000","April","Yard Waste","519"
"2020-04-30T00:00:00.000","April","Recycled Tires","22"
"2020-04-30T00:00:00.000","April","Scrap Metal","332"
"2020-04-30T00:00:00.000","April","Bottle Bill","317"
"2020-04-30T00:00:00.000","April","Misc. Recycling","10"
"2020-04-30T00:00:00.000","April","Curb Recycling","1447"
"2020-03-31T00:00:00.000","March","Misc. Garbage","716"
"2020-03-31T00:00:00.000","March","Curb Garbage","7028"
"2020-03-31T00:00:00.000","March","E-Waste","30"
"2020-03-31T00:00:00.000","March","Haz Waste","0"
"2020-03-31T00:00:00.000","March","Yard Waste","519"
"2020-03-31T00:00:00.000","March","Recycled Tires","22"
"2020-03-31T00:00:00.000","March","Scrap Metal","332"
"2020-03-31T00:00:00.000","March","Bottle Bill","317"
"2020-03-31T00:00:00.000","March","Misc. Recycling","10"
"2020-03-31T00:00:00.000","March","Curb Recycling","1412"
"2020-02-28T00:00:00.000","February","Misc. Garbage","777"
"2020-02-28T00:00:00.000","February","Curb Garbage","5436"
"2020-02-28T00:00:00.000","February","E-Waste","30"
"2020-02-28T00:00:00.000","February","Haz Waste","0"
"2020-02-28T00:00:00.000","February","Yard Waste","519"
"2020-02-28T00:00:00.000","February","Recycled Tires","22"
"2020-02-28T00:00:00.000","February","Scrap Metal","332"
"2020-02-28T00:00:00.000","February","Bottle Bill","317"
"2020-02-28T00:00:00.000","February","Misc. Recycling","10"
"2020-02-28T00:00:00.000","February","Curb Recycling","1166"
"2020-01-31T00:00:00.000","January","Misc. Garbage","921"
"2020-01-31T00:00:00.000","January","Curb Garbage","6601"
